rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,chemisorption_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,er_reaction_probability,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,diffusion_mode,diffusion_rate_cap_s,enable_chemisorption_diffusion,lh_exclude_chemisorption,lh_formation_mode,enable_grain_cache,grain_cache_dir,gas_flux_h_cm2_s,arrival_rate_per_site_s,run_id,final_time,final_h_atoms_on_surface,h2_formed_LH,h2_formed_ER,h2_formed_UV,total_h2_formed,total_h2_desorbed,total_h2_desorbed_LH,total_h2_desorbed_ER,total_h2_desorbed_UV,total_h2_desorbed_beam,total_h2_released_formed,total_h2_released_beam,total_h2_released_formed_gas,total_h2_released_total_gas,h2_on_surface,impinging_h_atoms,impinging_h2_molecules,epsilon,adsorption_rate_s,adsorption_rate_cm2_s,h2_release_rate_s,h2_release_rate_cm2_s
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,0,6845555536.073592,0,838,4,0,842,461,459,2,0,0,0,0,461.0,461.0,478,5000,0,0.1844,2.5403343685345936e-07,80861.35437170179,6.734296399623045e-08,21435.931204919223
1235,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,1,6805558395.353703,3,830,8,0,838,464,458,6,0,0,0,0,464.0,464.0,470,5000,0,0.1856,2.5831825955680927e-07,82225.25579872282,6.817956338700767e-08,21702.229061778948
1236,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,2,6747201946.827743,3,812,2,0,814,455,454,1,0,0,0,0,455.0,455.0,475,5000,0,0.182,2.538830189906176e-07,80813.47487890063,6.743536114461823e-08,21465.342130706238
1237,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,3,6772182048.436056,5,845,2,0,847,477,475,2,0,0,0,0,477.0,477.0,462,5000,0,0.1908,2.62544625540686e-07,83570.54987402167,7.043520044033027e-08,22420.220635494003
1238,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,4,6950026110.903558,3,815,3,0,818,423,422,1,0,0,0,0,423.0,423.0,490,5000,0,0.1692,2.4517893498654306e-07,78042.8788902295,6.086308069208199e-08,19373.320287891478
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,0,6769240895.461953,5,824,6,0,830,457,452,5,0,0,0,0,457.0,457.0,467,5000,0,0.1828,2.55863253612546e-07,81443.80313602387,6.75112626448808e-08,21489.502328615996
1235,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,1,6793387257.568154,3,823,3,0,826,460,458,2,0,0,0,0,460.0,460.0,465,5000,0,0.184,2.5112656401258964e-07,79936.0680085738,6.771290706083895e-08,21553.687739709232
1236,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,2,6783329429.554119,4,885,5,0,890,536,534,2,0,0,0,0,536.0,536.0,470,5000,0,0.2144,2.7051612619683986e-07,86107.95734059603,7.901724449128402e-08,25151.970100577368
1237,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,3,6875048210.56512,1,837,4,0,841,470,467,3,0,0,0,0,470.0,470.0,464,5000,0,0.188,2.526527737406544e-07,80421.87565340669,6.836315697070096e-08,21760.66871450843
1238,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,4,6801880628.386201,3,820,5,0,825,446,444,2,0,0,0,0,446.0,446.0,471,5000,0,0.1784,2.51254041840701e-07,79976.64546153088,6.557010103039944e-08,20871.611396046093
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,0,6760874748.568153,1,844,0,0,844,470,470,0,0,0,0,0,470.0,470.0,472,5000,0,0.188,2.573631467390377e-07,81921.23394640528,6.951763159042971e-08,22128.149399316368
1235,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,1,6713979149.399464,4,803,1,0,804,448,448,0,0,0,1,0,449.0,449.0,477,5000,0,0.1792,2.4873476113630384e-07,79174.7335072492,6.687539386239547e-08,21287.099008835263
1236,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,2,6740150597.367187,4,864,1,0,865,505,504,1,0,0,0,0,505.0,505.0,453,5000,0,0.202,2.661661596553593e-07,84723.31998587406,7.492414193197127e-08,23849.095090783947
1237,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,3,6770106188.817289,1,852,2,0,854,485,484,1,0,0,0,0,485.0,485.0,453,5000,0,0.194,2.6306825186018736e-07,83737.22530818499,7.163846274687865e-08,22803.230923340663
1238,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,4,6847073878.094322,1,827,4,0,831,465,463,2,0,0,0,0,465.0,465.0,470,5000,0,0.186,2.52516626924612e-07,80378.53877588794,6.791222181604659e-08,21617.13159675413
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,0,699119981.74871,3,843,2,0,845,458,458,0,0,0,0,0,458.0,458.0,480,5000,0,0.1832,2.4559446802039113e-06,781751.4716293929,6.551092973403561e-07,208527.76587435175
1235,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,1,666756572.1881797,1,844,2,0,846,481,480,1,0,0,0,0,481.0,481.0,460,5000,0,0.1924,2.5766525170675427e-06,820173.9694429471,7.214027128693178e-07,229629.6154261103
1236,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,2,681913357.809308,1,839,1,0,840,457,457,0,0,0,0,0,457.0,457.0,494,5000,0,0.1828,2.510582877419961e-06,799143.3499665211,6.701731162271742e-07,213322.72834970802
1237,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,3,700224692.0141066,4,805,1,0,806,448,448,0,0,0,0,0,448.0,448.0,463,5000,0,0.1792,2.3521021449023963e-06,748697.3660365314,6.397946332217811e-07,203652.95688182517
1238,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,4,676196983.202179,4,835,3,0,838,469,467,2,0,0,0,0,469.0,469.0,474,5000,0,0.1876,2.5155391731338308e-06,800720.9878910963,6.935848748969822e-07,220774.922587257
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,0,678663432.8733166,7,812,2,0,814,424,424,0,0,0,0,0,424.0,424.0,485,5000,0,0.1696,2.4592455098601805e-06,782802.1583415921,6.24757397352137e-07,198866.45604363992
1235,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,1,679456088.7508985,2,835,5,0,840,463,461,2,0,0,0,0,463.0,463.0,487,5000,0,0.1852,2.506416570835017e-06,797817.1733916609,6.814274059287216e-07,216905.080023687
1236,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,2,668249017.4183348,2,851,1,0,852,477,476,1,0,0,0,0,477.0,477.0,486,5000,0,0.1908,2.606812662037151e-06,829774.2417555097,7.13805763370678e-07,227211.43129585427
1237,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,3,680606674.9979409,1,844,6,0,850,471,465,6,0,0,0,0,471.0,471.0,475,5000,0,0.1884,2.5359727775300205e-06,807225.2061807719,6.920296513422014e-07,220279.87955454437
1238,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,4,695000688.9928675,6,797,5,0,802,436,435,1,0,0,0,0,436.0,436.0,484,5000,0,0.1744,2.3467602634516787e-06,746996.9923599464,6.273375075811969e-07,199687.73063699363
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,0,685515669.9084679,2,864,5,0,869,484,481,3,0,0,0,0,484.0,484.0,471,5000,0,0.1936,2.57908035893048e-06,820946.7755100109,7.060378358158102e-07,224738.82315998035
1235,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,1,677858999.0904896,8,840,0,0,840,478,478,0,0,0,0,0,478.0,478.0,465,5000,0,0.1912,2.5137971204724353e-06,800166.4753067214,7.051613988179719e-07,224459.8445989512
1236,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,2,682503211.6917938,3,820,4,0,824,440,439,1,0,0,0,0,440.0,440.0,498,5000,0,0.176,2.480574407559753e-06,789591.3573407686,6.446856109428773e-07,205209.80344355473
1237,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,3,686088480.7522357,3,836,2,0,838,454,452,2,0,0,0,0,454.0,454.0,476,5000,0,0.1816,2.501135127816979e-06,796136.0378657031,6.617222307860773e-07,210632.72796680024
1238,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,4,683760354.5623597,5,848,1,0,849,481,481,0,0,0,0,0,481.0,481.0,455,5000,0,0.1924,2.5462137258810883e-06,810485.0012848146,7.034628386839768e-07,223919.17611602286
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,0,66934099.050832495,2,837,1,0,838,448,448,0,0,0,0,0,448.0,448.0,498,5000,0,0.1792,2.5308475411217638e-05,8055937.927629948,6.693150521974912e-06,2130495.9808608126
1235,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,1,68739471.44433841,5,821,2,0,823,443,443,0,0,0,0,0,443.0,443.0,500,5000,0,0.1772,2.420734353983823e-05,7705436.766977825,6.444623310185298e-06,2051387.3123624858
1236,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,2,67538576.634014,7,835,2,0,837,475,475,0,0,0,0,0,475.0,475.0,474,5000,0,0.19,2.514118722402639e-05,8002688.44380521,7.033017627451435e-06,2238679.0405226587
1237,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,3,68588346.83940127,1,864,4,0,868,482,480,2,0,0,0,0,482.0,482.0,486,5000,0,0.1928,2.5558277473936306e-05,8135452.393782404,7.027432825121106e-06,2236901.3427285333
1238,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,4,67677865.04709579,3,831,7,0,838,464,463,1,0,0,0,0,464.0,464.0,484,5000,0,0.1856,2.4941685125932262e-05,7939184.95366744,6.856008233668584e-06,2182335.200534178
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,0,67345218.36394832,2,805,7,0,812,419,416,3,0,0,0,0,419.0,419.0,501,5000,0,0.1676,2.414425314077593e-05,7685354.469233014,6.221674087321719e-06,1980420.3706080152
1235,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,1,66794641.58967924,7,810,3,0,813,449,446,3,0,0,0,0,449.0,449.0,484,5000,0,0.1796,2.456783899044918e-05,7820186.032831571,6.7220961040290564e-06,2139709.645789991
1236,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,2,66952685.06531266,1,856,0,0,856,498,498,0,0,0,0,0,498.0,498.0,470,5000,0,0.1992,2.5824207024906504e-05,8220100.398884634,7.43808854737041e-06,2367617.118938431
1237,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,3,68617504.58264899,2,844,4,0,848,472,468,4,0,0,0,0,472.0,472.0,470,5000,0,0.1888,2.494990178399618e-05,7941800.397160577,6.8787112395129645e-06,2189561.7917405325
1238,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,4,66835937.57506443,2,828,5,0,833,459,458,1,0,0,0,0,459.0,459.0,484,5000,0,0.1836,2.5151139656147473e-05,8005856.401340923,6.8675628210420525e-06,2186013.1399259274
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,0,69281038.48453577,1,835,3,0,838,448,445,3,0,0,0,0,448.0,448.0,482,5000,0,0.1792,2.4581040314228644e-05,7824388.144701288,6.466415772621511e-06,2058324.0686002213
1235,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,1,67740222.71811555,4,839,2,0,841,475,473,2,0,0,0,0,475.0,475.0,481,5000,0,0.19,2.506634805536164e-05,7978866.396545443,7.012082053178314e-06,2232015.0402585897
