temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.05837520497063255,0.006772032981203277,0.005935948628001704,514.2,15.0,0.08990098297896187,0.007508230046199145,0.006581253807411008,13.8,1.2,0.0,0.92,0.08,0.0
11.5,0.08452382072687428,0.018353881766247228,0.0160878866938865,521.8,22.2,0.096717009687489,0.0036967501380961534,0.0032403443650089753,18.0,4.2,0.0,0.8108108108108109,0.1891891891891892,0.0
12.5,0.08257404720970843,0.007434938318789902,0.006517010775818231,514.6,21.2,0.006362121963550208,0.0007086375389545649,0.0006211481897361404,18.4,2.8,0.0,0.8679245283018868,0.1320754716981132,0.0
13.5,0.1026487154939439,0.011614778919386667,0.010180802601293013,507.4,26.0,0.0006638967190827011,2.6523430200627448e-05,2.324881162662895e-05,22.6,3.4,0.0,0.8692307692307693,0.13076923076923078,0.0
14.5,0.09300639129898783,0.025654070641702668,0.022486784374936095,506.2,23.6,0.00011730755697183911,6.7374518221278116e-06,5.905636905607782e-06,18.8,4.8,0.0,0.7966101694915254,0.2033898305084746,0.0
15.5,0.08168316506904591,0.019990211570961144,0.017522193007250615,514.2,21.0,2.22125426021011e-05,1.1185714385004829e-06,9.804710954773076e-07,14.4,6.6,0.0,0.6857142857142857,0.3142857142857143,0.0
16.5,0.06609108327228078,0.01618434380685011,0.014186202825951072,509.8,16.8,5.5891722397881485e-06,5.647409375594632e-07,4.9501725741549e-07,10.2,6.6,0.0,0.6071428571428571,0.39285714285714285,0.0
17.5,0.05889540547782168,0.013671015152717143,0.011983173127538837,529.2,15.6,1.4883276130760957e-06,1.39945148695672e-07,1.2266733131709674e-07,9.4,6.2,0.0,0.6025641025641025,0.3974358974358974,0.0
18.5,0.05476055144495987,0.010770837963744208,0.009441055737734445,519.2,14.2,4.973148894882868e-07,3.8146849973202626e-08,3.34371882696863e-08,6.0,8.2,0.0,0.4225352112676056,0.5774647887323944,0.0
19.5,0.2691355119901436,0.015220624353787949,0.013341465480302996,516.4,69.6,0.0,0.0,0.0,30.8,38.8,0.0,0.4425287356321839,0.5574712643678161,0.0
20.5,0.2555381892925867,0.020814064917608097,0.01824433230519518,535.2,68.4,0.0,0.0,0.0,25.8,42.6,0.0,0.37719298245614036,0.6228070175438597,0.0
21.5,0.23048585705205488,0.022877625065253558,0.020053122525386727,502.6,58.0,0.0,0.0,0.0,22.0,36.0,0.0,0.3793103448275862,0.6206896551724138,0.0
22.5,0.23495453494135474,0.024695881727671457,0.02164689476048838,528.4,62.0,0.0,0.0,0.0,21.2,40.8,0.0,0.3419354838709677,0.6580645161290323,0.0
23.5,0.2423848711133758,0.03333089520414333,0.029215817791535398,521.2,62.8,0.0,0.0,0.0,25.8,37.0,0.0,0.410828025477707,0.589171974522293,0.0
24.5,0.24574373208383377,0.01870800067918434,0.016398285606773217,516.2,63.4,0.0,0.0,0.0,19.8,43.6,0.0,0.31230283911671924,0.6876971608832808,0.0
25.5,0.22328548302539986,0.011868634785179825,0.010403317078474035,524.2,58.6,0.0,0.0,0.0,21.0,37.6,0.0,0.3583617747440273,0.6416382252559727,0.0
26.5,0.23172417073214202,0.0190357860780525,0.016685602176862446,532.4,61.6,0.0,0.0,0.0,22.0,39.6,0.0,0.35714285714285715,0.6428571428571429,0.0
27.5,0.2481006028050353,0.017657890151928063,0.01547782314582261,517.2,64.0,0.0,0.0,0.0,23.4,40.6,0.0,0.365625,0.634375,0.0
28.5,0.2390701191309285,0.023147255277527264,0.02028946382689195,518.4,62.0,0.0,0.0,0.0,22.0,40.0,0.0,0.3548387096774194,0.6451612903225806,0.0
29.5,0.25561357985767225,0.013562179699511782,0.011887774646620997,516.8,66.2,0.0,0.0,0.0,25.2,41.0,0.0,0.3806646525679758,0.6193353474320241,0.0
30.5,0.25170968905880026,0.02392303118070431,0.02096946138757754,505.4,63.6,0.0,0.0,0.0,26.6,37.0,0.0,0.41823899371069184,0.5817610062893082,0.0
31.5,0.238863301222659,0.012931332180223553,0.011334812415487287,509.0,60.8,0.0,0.0,0.0,21.6,39.2,0.0,0.35526315789473684,0.6447368421052632,0.0
32.5,0.24452108139130718,0.025970473211275626,0.022764123455233824,520.4,63.6,0.0,0.0,0.0,21.8,41.8,0.0,0.34276729559748426,0.6572327044025157,0.0
33.5,0.2353495422018533,0.014683424747363862,0.012870589264022441,513.0,60.4,0.0,0.0,0.0,20.0,40.4,0.0,0.33112582781456956,0.6688741721854304,0.0
34.5,0.235940252752631,0.00996339711820306,0.008733302631305999,511.6,60.4,0.0,0.0,0.0,22.0,38.4,0.0,0.36423841059602646,0.6357615894039735,0.0
35.5,0.26740439009168815,0.031063928346644374,0.02722873372906155,500.6,67.0,0.0,0.0,0.0,22.8,44.2,0.0,0.3402985074626866,0.6597014925373135,0.0
36.5,0.22408167427852269,0.022534891578435377,0.01975270337850786,524.4,58.8,0.0,0.0,0.0,23.2,35.6,0.0,0.3945578231292517,0.6054421768707483,0.0
37.5,0.23951306222624433,0.023781147745172697,0.020845095072939423,508.4,61.0,0.0,0.0,0.0,22.0,39.0,0.0,0.36065573770491804,0.639344262295082,0.0
38.5,0.2658685678217858,0.03284444911278971,0.02878942899269434,508.6,67.8,0.0,0.0,0.0,25.0,42.8,0.0,0.3687315634218289,0.6312684365781711,0.0
39.5,0.22602514261702397,0.03614764882291628,0.031684811197973776,497.6,56.2,0.0,0.0,0.0,21.2,35.0,0.0,0.37722419928825623,0.6227758007117438,0.0
40.5,0.23455104648539754,0.020735765885833996,0.018175700177808417,518.8,60.8,0.0,0.0,0.0,21.4,39.4,0.0,0.3519736842105263,0.6480263157894737,0.0
41.5,0.23488196733173003,0.010820465000694323,0.009484555753566248,502.2,59.0,0.0,0.0,0.0,20.6,38.4,0.0,0.34915254237288135,0.6508474576271186,0.0
42.5,0.2576870263188522,0.013879631503014305,0.012166033421007924,518.0,66.8,0.0,0.0,0.0,21.2,45.6,0.0,0.31736526946107785,0.6826347305389222,0.0
43.5,0.23306672854351063,0.03156048482230521,0.027663984670485725,533.4,62.2,0.0,0.0,0.0,22.8,39.4,0.0,0.3665594855305466,0.6334405144694534,0.0
44.5,0.24753655515597014,0.02826154283742938,0.024772334525937634,512.6,63.4,0.0,0.0,0.0,20.6,42.8,0.0,0.3249211356466877,0.6750788643533123,0.0
45.5,0.2616528612458721,0.028775332439707403,0.02522269096885352,498.8,65.4,0.0,0.0,0.0,20.2,45.2,0.0,0.308868501529052,0.691131498470948,0.0
46.5,0.25644304056991324,0.016567915163915533,0.014522417944370161,497.6,63.8,0.0,0.0,0.0,24.6,39.2,0.0,0.38557993730407525,0.6144200626959248,0.0
47.5,0.2540076907540672,0.021906156053844158,0.01920159239234872,513.6,65.2,0.0,0.0,0.0,23.4,41.8,0.0,0.3588957055214724,0.6411042944785276,0.0
48.5,0.24096663179320701,0.03831269070313458,0.03358255407874819,519.8,62.8,0.0,0.0,0.0,23.8,39.0,0.0,0.37898089171974525,0.6210191082802548,0.0
49.5,0.23024785984460108,0.014369757554695915,0.012595647847296557,495.2,57.0,0.0,0.0,0.0,19.8,37.2,0.0,0.3473684210526316,0.6526315789473685,0.0
50.5,0.259578871737499,0.020220582907966765,0.01772412238733855,528.6,68.8,0.0,0.0,0.0,25.8,43.0,0.0,0.375,0.625,0.0
51.5,0.23567741223384914,0.042476394308349735,0.03723220120412162,521.0,61.4,0.0,0.0,0.0,22.6,38.8,0.0,0.36807817589576547,0.6319218241042345,0.0
52.5,0.23128121426312137,0.027487550350843534,0.02409390019881826,536.4,61.8,0.0,0.0,0.0,20.0,41.8,0.0,0.32362459546925565,0.6763754045307443,0.0
53.5,0.25797141785994243,0.020132090450068748,0.017646555328006998,491.6,63.4,0.0,0.0,0.0,22.4,41.0,0.0,0.35331230283911674,0.6466876971608833,0.0
54.5,0.24137547700687315,0.02853664487106156,0.02501347209033403,510.4,61.6,0.0,0.0,0.0,22.0,39.6,0.0,0.35714285714285715,0.6428571428571429,0.0
55.5,0.2677745699836242,0.034864780153633576,0.030560327230091215,513.4,68.6,0.0,0.0,0.0,23.4,45.2,0.0,0.34110787172011664,0.6588921282798834,0.0
56.5,0.24584638984423884,0.032667427687776314,0.028634262872291233,531.0,65.2,0.0,0.0,0.0,22.2,43.0,0.0,0.34049079754601225,0.6595092024539877,0.0
57.5,0.2365283215411889,0.016064010314308985,0.01408072586918864,513.6,60.8,0.0,0.0,0.0,21.6,39.2,0.0,0.35526315789473684,0.6447368421052632,0.0
58.5,0.24352007630831068,0.023320923186278913,0.02044169046068769,507.2,61.6,0.0,0.0,0.0,21.6,40.0,0.0,0.35064935064935066,0.6493506493506493,0.0
59.5,0.2429967307595601,0.01949928816224346,0.017091879666704262,510.4,62.0,0.0,0.0,0.0,21.4,40.6,0.0,0.34516129032258064,0.6548387096774193,0.0
60.5,0.2388833448186452,0.02579300320246921,0.022608564133799643,501.0,59.8,0.0,0.0,0.0,23.4,36.4,0.0,0.391304347826087,0.6086956521739131,0.0
61.5,0.22797988186292772,0.016234584783595043,0.014230240983740074,528.0,60.0,0.0,0.0,0.0,22.0,38.0,0.0,0.36666666666666664,0.6333333333333333,0.0
62.5,0.2529893544522819,0.028323762420622667,0.02482687239521798,504.8,64.0,0.0,0.0,0.0,19.8,44.2,0.0,0.309375,0.690625,0.0
63.5,0.25521953187626073,0.01520852208482592,0.01333085737383921,518.2,66.2,0.0,0.0,0.0,23.8,42.4,0.0,0.3595166163141994,0.6404833836858006,0.0
64.5,0.22718172315810362,0.01831612545962889,0.01605479183196075,520.8,59.2,0.0,0.0,0.0,21.4,37.8,0.0,0.3614864864864865,0.6385135135135135,0.0
65.5,0.2473950270435376,0.034985824095364146,0.030666426923025052,531.6,66.0,0.0,0.0,0.0,24.8,41.2,0.0,0.37575757575757573,0.6242424242424243,0.0
66.5,0.24046261629088939,0.022156523969729267,0.019421049546635906,515.2,62.0,0.0,0.0,0.0,23.4,38.6,0.0,0.3774193548387097,0.6225806451612903,0.0
67.5,0.2512473534857226,0.010479006579055187,0.009185254250594488,495.8,62.2,0.0,0.0,0.0,22.4,39.8,0.0,0.36012861736334406,0.639871382636656,0.0
68.5,0.24492437880176826,0.02063008956205068,0.01808307079592044,523.4,64.2,0.0,0.0,0.0,20.4,43.8,0.0,0.3177570093457944,0.6822429906542056,0.0
69.5,0.2654557226824839,0.027065597725581685,0.02372404241549722,508.4,67.6,0.0,0.0,0.0,23.4,44.2,0.0,0.34615384615384615,0.6538461538461539,0.0
70.5,0.266452907427928,0.010203054115463664,0.00894337125147201,520.0,69.2,0.0,0.0,0.0,23.6,45.6,0.0,0.34104046242774566,0.6589595375722543,0.0
71.5,0.2542820973942391,0.011063803709968,0.009697851536599503,506.0,64.4,0.0,0.0,0.0,23.4,41.0,0.0,0.36335403726708076,0.6366459627329193,0.0
72.5,0.23195560465578371,0.023890859838683918,0.020941261962965023,514.4,59.6,0.0,0.0,0.0,21.2,38.4,0.0,0.35570469798657717,0.6442953020134228,0.0
73.5,0.25245577883379267,0.019483811255133668,0.017078313559483714,517.2,65.2,0.0,0.0,0.0,22.0,43.2,0.0,0.3374233128834356,0.6625766871165644,0.0
74.5,0.24551883059986954,0.019197602070171522,0.016827440147686532,513.0,63.0,0.0,0.0,0.0,23.2,39.8,0.0,0.3682539682539683,0.6317460317460317,0.0
75.5,0.22565828456501355,0.015594985234789572,0.013669607260493238,512.8,57.8,0.0,0.0,0.0,22.0,35.8,0.0,0.3806228373702422,0.6193771626297578,0.0
76.5,0.23093567479484328,0.03936633228067529,0.03450611164173824,530.0,61.2,0.0,0.0,0.0,21.8,39.4,0.0,0.3562091503267974,0.6437908496732027,0.0
77.5,0.25707032875115077,0.03806933853994935,0.033369246502841496,510.8,65.6,0.0,0.0,0.0,23.4,42.2,0.0,0.3567073170731707,0.6432926829268293,0.0
78.5,0.21926523504125378,0.02339640604236409,0.020507854101245865,522.8,57.2,0.0,0.0,0.0,21.2,36.0,0.0,0.3706293706293706,0.6293706293706294,0.0
79.5,0.25967173590204684,0.025098270726376784,0.02199960426905363,529.8,68.6,0.0,0.0,0.0,22.6,46.0,0.0,0.3294460641399417,0.6705539358600583,0.0
