E_chem_mean_eV,E_phys_mean_meV,arrival_rate_per_site_s,chemisorption_fraction,enable_LH,enable_diffusion,epsilon,er_cross_section_cm2,er_reaction_probability,final_h_atoms_on_surface,final_time,gas_temperature_k,grain_radius_um,h2_formed_ER,h2_formed_LH,h2_formed_UV,h2_on_surface,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,heterogeneity_E_chem_sigma_eV,impinging_h2_molecules,impinging_h_atoms,initial_h_coverage,max_arrivals,porosity_fraction,rng_seed,run_id,site_area_angstroms_sq,sticking_probability,sticking_temp_model,surface_defect_fraction,surface_temperature_k,total_h2_desorbed,total_h2_desorbed_beam,total_h2_formed,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
1.75,45.0,0.01,0.5,False,False,0.1468,1e-15,0.5,543,572.2330921976072,300.0,0.005,367,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,0.5,constant,0.15,100,367,0,367,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1532,1e-15,0.5,579,569.5654754697632,300.0,0.005,383,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,0.5,constant,0.15,100,383,0,383,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1472,1e-15,0.5,587,571.4165514090739,300.0,0.005,368,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,0.5,constant,0.15,100,368,0,368,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.154,1e-15,0.5,569,576.6641423129241,300.0,0.005,385,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,0.5,constant,0.15,100,385,0,385,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.164,1e-15,0.5,604,576.2062284020811,300.0,0.005,410,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,0.5,constant,0.15,100,410,0,410,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1584,1e-15,0.5,448,568.7130179150314,300.0,0.005,396,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,0.5,constant,0.15,150,396,0,396,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1516,1e-15,0.5,460,569.8083705183537,300.0,0.005,379,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,0.5,constant,0.15,150,379,0,379,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.14,1e-15,0.5,494,572.2782267398275,300.0,0.005,350,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,0.5,constant,0.15,150,350,0,350,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1524,1e-15,0.5,471,569.7745002961987,300.0,0.005,381,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,0.5,constant,0.15,150,381,0,381,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1616,1e-15,0.5,511,588.3900832718437,300.0,0.005,404,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,0.5,constant,0.15,150,404,0,404,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1428,1e-15,0.5,481,558.5616950824023,300.0,0.005,357,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,0.5,constant,0.15,200,357,0,357,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1584,1e-15,0.5,481,578.624213133328,300.0,0.005,396,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,0.5,constant,0.15,200,396,0,396,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.142,1e-15,0.5,478,567.4270404999778,300.0,0.005,355,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,0.5,constant,0.15,200,355,0,355,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.148,1e-15,0.5,484,566.1328933405888,300.0,0.005,370,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,0.5,constant,0.15,200,370,0,370,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1516,1e-15,0.5,522,583.641713158853,300.0,0.005,379,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,0.5,constant,0.15,200,379,0,379,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1428,1e-15,0.5,481,558.5430349733695,300.0,0.005,357,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,0.5,constant,0.15,250,357,0,357,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.158,1e-15,0.5,462,579.0196028983349,300.0,0.005,395,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,0.5,constant,0.15,250,395,0,395,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.142,1e-15,0.5,478,567.4059269926,300.0,0.005,355,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,0.5,constant,0.15,250,355,0,355,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.148,1e-15,0.5,484,566.1102781942366,300.0,0.005,370,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,0.5,constant,0.15,250,370,0,370,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.1516,1e-15,0.5,522,583.6202558330666,300.0,0.005,379,0,0,0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,0.5,constant,0.15,250,379,0,379,True,0.5,0.0,1e-06,False,2.0
